,desc,trans,origin,engine,price
136,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
137,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
138,2012 Toyota Venza,automatic,foreign,petrol,5500000
139,2005 Lexus ES 330,automatic,foreign,petrol,1800000
140,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
141,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
142,2015 Toyota Camry,automatic,foreign,petrol,5700000
143,2008 Lexus ES 350,automatic,foreign,petrol,3000000
144,2008 Honda CR-V,automatic,foreign,petrol,2800000
145,2005 Volkswagen LT,,foreign,diesel,2500000
146,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
147,2013 Toyota Venza,automatic,foreign,petrol,5000000
148,2010 Toyota Corolla,automatic,foreign,petrol,2700000
149,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
150,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
151,2002 Toyota HiAce,automatic,foreign,petrol,3450000
152,2008 Toyota RAV4,automatic,foreign,petrol,2800000
153,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
154,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
155,2005 Toyota HiAce,,foreign,petrol,3450000
156,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
157,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
158,2012 Toyota Venza,automatic,foreign,petrol,5500000
159,2005 Lexus ES 330,automatic,foreign,petrol,1800000
160,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
161,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
162,2015 Toyota Camry,automatic,foreign,petrol,5700000
163,2008 Lexus ES 350,automatic,foreign,petrol,3000000
164,2008 Honda CR-V,automatic,foreign,petrol,2800000
165,2005 Volkswagen LT,,foreign,diesel,2500000
166,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
167,2013 Toyota Venza,automatic,foreign,petrol,5000000
168,2010 Toyota Corolla,automatic,foreign,petrol,2700000
169,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
170,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
171,2002 Toyota HiAce,automatic,foreign,petrol,3450000
172,2008 Toyota RAV4,automatic,foreign,petrol,2800000
173,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
174,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
175,2005 Toyota HiAce,,foreign,petrol,3450000
176,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
177,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
178,2012 Toyota Venza,automatic,foreign,petrol,5500000
179,2005 Lexus ES 330,automatic,foreign,petrol,1800000
180,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
181,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
182,2015 Toyota Camry,automatic,foreign,petrol,5700000
183,2008 Lexus ES 350,automatic,foreign,petrol,3000000
184,2008 Honda CR-V,automatic,foreign,petrol,2800000
185,2005 Volkswagen LT,,foreign,diesel,2500000
186,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
187,2013 Toyota Venza,automatic,foreign,petrol,5000000
188,2010 Toyota Corolla,automatic,foreign,petrol,2700000
189,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
190,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
191,2002 Toyota HiAce,automatic,foreign,petrol,3450000
192,2008 Toyota RAV4,automatic,foreign,petrol,2800000
193,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
194,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
195,2005 Toyota HiAce,,foreign,petrol,3450000
196,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
197,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
198,2012 Toyota Venza,automatic,foreign,petrol,5500000
199,2005 Lexus ES 330,automatic,foreign,petrol,1800000
200,2007  Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
201,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
202,2015 Toyota Camry,automatic,foreign,petrol,5700000
203,2008 Lexus ES 350,automatic,foreign,petrol,3000000
204,2008 Honda CR-V,automatic,foreign,petrol,2800000
205,2005 Volkswagen LT,,foreign,diesel,2500000
206,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
207,2013 Toyota Venza,automatic,foreign,petrol,5000000
208,2010 Toyota Corolla,automatic,foreign,petrol,2700000
209,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
210,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
211,2002 Toyota HiAce,automatic,foreign,petrol,3450000
212,2008 Toyota RAV4,automatic,foreign,petrol,2800000
213,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
214,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
215,2005 Toyota HiAce,,foreign,petrol,3450000
216,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
217,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
218,2012 Toyota Venza,automatic,foreign,petrol,5500000
219,2005 Lexus ES 330,automatic,foreign,petrol,1800000
220,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
221,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
222,2015 Toyota Camry,automatic,foreign,petrol,5700000
223,2008 Lexus ES 350,automatic,foreign,petrol,3000000
224,2008 Honda CR-V,automatic,foreign,petrol,2800000
225,2005 Volkswagen LT,,foreign,diesel,2500000
226,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
227,2013 Toyota Venza,automatic,foreign,petrol,5000000
228,2010 Toyota Corolla,automatic,foreign,petrol,2700000
229,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
230,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
231,2002 Toyota HiAce,automatic,foreign,petrol,3450000
232,2008 Toyota RAV4,automatic,foreign,petrol,2800000
233,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
234,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
235,2005 Toyota HiAce,,foreign,petrol,3450000
236,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
237,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
238,2012 Toyota Venza,automatic,foreign,petrol,5500000
239,2005 Lexus ES 330,automatic,foreign,petrol,1800000
240,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
241,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
242,2015 Toyota Camry,automatic,foreign,petrol,5700000
243,2008 Lexus ES 350,automatic,foreign,petrol,3000000
244,2008 Honda CR-V,automatic,foreign,petrol,2800000
245,2005 Volkswagen LT,,foreign,diesel,2500000
246,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
247,2013 Toyota Venza,automatic,foreign,petrol,5000000
248,2010 Toyota Corolla,automatic,foreign,petrol,2700000
249,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
250,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
251,2002 Toyota HiAce,automatic,foreign,petrol,3450000
252,2008 Toyota RAV4,automatic,foreign,petrol,2800000
253,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
254,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
255,2005 Toyota HiAce,,foreign,petrol,3450000
256,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
257,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
258,2012 Toyota Venza,automatic,foreign,petrol,5500000
259,2005 Lexus ES 330,automatic,foreign,petrol,1800000
260,2007  Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
261,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
262,2015 Toyota Camry,automatic,foreign,petrol,5700000
263,2008 Lexus ES 350,automatic,foreign,petrol,3000000
264,2008 Honda CR-V,automatic,foreign,petrol,2800000
265,2005 Volkswagen LT,,foreign,diesel,2500000
266,2011  Toyota Corolla Automatic,automatic,foreign,petrol,3800000
267,2013 Toyota Venza,automatic,foreign,petrol,5000000
268,2010 Toyota Corolla,automatic,foreign,petrol,2700000
269,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
270,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
271,2002 Toyota HiAce,automatic,foreign,petrol,3450000
272,2008 Toyota RAV4,automatic,foreign,petrol,2800000
273,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
274,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
275,2005 Toyota HiAce,,foreign,petrol,3450000
276,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
277,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
278,2012 Toyota Venza,automatic,foreign,petrol,5500000
279,2005 Lexus ES 330,automatic,foreign,petrol,1800000
280,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
281,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
282,2015 Toyota Camry,automatic,foreign,petrol,5700000
283,2008 Lexus ES 350,automatic,foreign,petrol,3000000
284,2008 Honda CR-V,automatic,foreign,petrol,2800000
285,2005 Volkswagen LT,,foreign,diesel,2500000
286,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
287,2013 Toyota Venza,automatic,foreign,petrol,5000000
288,2010 Toyota Corolla,automatic,foreign,petrol,2700000
289,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
290,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
291,2002 Toyota HiAce,automatic,foreign,petrol,3450000
292,2008 Toyota RAV4,automatic,foreign,petrol,2800000
293,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
294,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
295,2005 Toyota HiAce,,foreign,petrol,3450000
296,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
297,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
298,2012 Toyota Venza,automatic,foreign,petrol,5500000
299,2005 Lexus ES 330,automatic,foreign,petrol,1800000
300,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
301,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
302,2015 Toyota Camry,automatic,foreign,petrol,5700000
303,2008 Lexus ES 350,automatic,foreign,petrol,3000000
304,2008 Honda CR-V,automatic,foreign,petrol,2800000
305,2005 Volkswagen LT,,foreign,diesel,2500000
306,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
307,2013 Toyota Venza,automatic,foreign,petrol,5000000
308,2010 Toyota Corolla,automatic,foreign,petrol,2700000
309,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
310,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
311,2002 Toyota HiAce,automatic,foreign,petrol,3450000
312,2008 Toyota RAV4,automatic,foreign,petrol,2800000
313,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
314,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
315,2005 Toyota HiAce,,foreign,petrol,3450000
316,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
317,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
318,2012 Toyota Venza,automatic,foreign,petrol,5500000
319,2005 Lexus ES 330,automatic,foreign,petrol,1800000
320,2007  Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
321,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
322,2015 Toyota Camry,automatic,foreign,petrol,5700000
323,2008 Lexus ES 350,automatic,foreign,petrol,3000000
324,2008 Honda CR-V,automatic,foreign,petrol,2800000
325,2005 Volkswagen LT,,foreign,diesel,2500000
326,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
327,2013 Toyota Venza,automatic,foreign,petrol,5000000
328,2010 Toyota Corolla,automatic,foreign,petrol,2700000
329,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
330,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
331,2002 Toyota HiAce,automatic,foreign,petrol,3450000
332,2008 Toyota RAV4,automatic,foreign,petrol,2800000
333,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
334,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
335,2005 Toyota HiAce,,foreign,petrol,3450000
336,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
337,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
338,2012 Toyota Venza,automatic,foreign,petrol,5500000
339,2005 Lexus ES 330,automatic,foreign,petrol,1800000
340,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
341,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
342,2015 Toyota Camry,automatic,foreign,petrol,5700000
343,2008 Lexus ES 350,automatic,foreign,petrol,3000000
344,2008 Honda CR-V,automatic,foreign,petrol,2800000
345,2005 Volkswagen LT,,foreign,diesel,2500000
346,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
347,2013 Toyota Venza,automatic,foreign,petrol,5000000
348,2010 Toyota Corolla,automatic,foreign,petrol,2700000
349,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
350,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
351,2002 Toyota HiAce,automatic,foreign,petrol,3450000
352,2008 Toyota RAV4,automatic,foreign,petrol,2800000
353,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
354,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
355,2005 Toyota HiAce,,foreign,petrol,3450000
356,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
357,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
358,2012 Toyota Venza,automatic,foreign,petrol,5500000
359,2005 Lexus ES 330,automatic,foreign,petrol,1800000
360,2007  Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
361,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
362,2015 Toyota Camry,automatic,foreign,petrol,5700000
363,2008 Lexus ES 350,automatic,foreign,petrol,3000000
364,2008 Honda CR-V,automatic,foreign,petrol,2800000
365,2005 Volkswagen LT,,foreign,diesel,2500000
366,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
367,2013 Toyota Venza,automatic,foreign,petrol,5000000
368,2010 Toyota Corolla,automatic,foreign,petrol,2700000
369,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
370,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
371,2002 Toyota HiAce,automatic,foreign,petrol,3450000
372,2008 Toyota RAV4,automatic,foreign,petrol,2800000
373,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
374,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
375,2005 Toyota HiAce,,foreign,petrol,3450000
376,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
377,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
378,2012 Toyota Venza,automatic,foreign,petrol,5500000
379,2005 Lexus ES 330,automatic,foreign,petrol,1800000
380,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
381,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
382,2015 Toyota Camry,automatic,foreign,petrol,5700000
383,2008 Lexus ES 350,automatic,foreign,petrol,3000000
384,2008 Honda CR-V,automatic,foreign,petrol,2800000
385,2005 Volkswagen LT,,foreign,diesel,2500000
386,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
387,2013 Toyota Venza,automatic,foreign,petrol,5000000
388,2010 Toyota Corolla,automatic,foreign,petrol,2700000
389,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
390,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
391,2002 Toyota HiAce,automatic,foreign,petrol,3450000
392,2008 Toyota RAV4,automatic,foreign,petrol,2800000
393,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
394,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
395,2005 Toyota HiAce,,foreign,petrol,3450000
396,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
397,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
398,2012 Toyota Venza,automatic,foreign,petrol,5500000
399,2005 Lexus ES 330,automatic,foreign,petrol,1800000
400,2007  Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
401,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
402,2015 Toyota Camry,automatic,foreign,petrol,5700000
403,2008 Lexus ES 350,automatic,foreign,petrol,3000000
404,2008 Honda CR-V,automatic,foreign,petrol,2800000
405,2005 Volkswagen LT,,foreign,diesel,2500000
406,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
407,2013 Toyota Venza,automatic,foreign,petrol,5000000
408,2010 Toyota Corolla,automatic,foreign,petrol,2700000
409,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
410,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
411,2002 Toyota HiAce,automatic,foreign,petrol,3450000
412,2008 Toyota RAV4,automatic,foreign,petrol,2800000
413,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
414,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
415,2005 Toyota HiAce,,foreign,petrol,3450000
416,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
417,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
418,2012 Toyota Venza,automatic,foreign,petrol,5500000
419,2005 Lexus ES 330,automatic,foreign,petrol,1800000
420,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
421,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
422,2015 Toyota Camry,automatic,foreign,petrol,5700000
423,2008 Lexus ES 350,automatic,foreign,petrol,3000000
424,2008 Honda CR-V,automatic,foreign,petrol,2800000
425,2005 Volkswagen LT,,foreign,diesel,2500000
426,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
427,2013 Toyota Venza,automatic,foreign,petrol,5000000
428,2010 Toyota Corolla,automatic,foreign,petrol,2700000
429,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
430,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
431,2002 Toyota HiAce,automatic,foreign,petrol,3450000
432,2008 Toyota RAV4,automatic,foreign,petrol,2800000
433,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
434,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
435,2005 Toyota HiAce,,foreign,petrol,3450000
436,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
437,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
438,2012 Toyota Venza,automatic,foreign,petrol,5500000
439,2005 Lexus ES 330,automatic,foreign,petrol,1800000
440,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
441,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
442,2015 Toyota Camry,automatic,foreign,petrol,5700000
